order_purchase_timestamp,revenue
2017-07-23,11850.11
2017-07-24,18183.72
2017-07-25,16789.24
2017-07-26,10807.07
2017-07-27,15518.03
2017-07-28,19479.26
2017-07-29,15127.6
2017-07-30,12149.73
2017-07-31,16976.19
2017-08-01,21321.15
2017-08-02,17797.09
2017-08-03,18285.62
2017-08-04,17912.82
2017-08-05,11793.34
2017-08-06,12902.48
2017-08-07,23257.84
2017-08-08,18661.63
2017-08-09,20128.37
2017-08-10,19865.55
2017-08-11,18916.38
2017-08-12,12384.17
2017-08-13,12244.3
2017-08-14,17905.47
2017-08-15,22813.74
2017-08-16,20461.27
2017-08-17,17819.11
2017-08-18,16734.31
2017-08-19,12842.58
2017-08-20,12873.78
2017-08-21,21480.85
2017-08-22,16570.13
2017-08-23,15873.61
2017-08-24,13121.01
2017-08-25,14462.15
2017-08-26,9797.9
2017-08-27,12893.21
2017-08-28,21318.73
2017-08-29,33236.48
2017-08-30,29116.37
2017-08-31,19908.26
2017-09-01,27983.45
2017-09-02,17911.760000000002
2017-09-03,27615.52
2017-09-04,24757.98
2017-09-05,20674.760000000002
2017-09-06,25101.81
2017-09-07,16893.5
2017-09-08,11484.6
2017-09-09,14554.65
2017-09-10,17144.5
2017-09-11,23246.89
2017-09-12,26431.54
2017-09-13,27263.48
2017-09-14,22188.87
2017-09-15,17959.58
2017-09-16,18965.74
2017-09-17,19979.42
2017-09-18,27232.01
2017-09-19,19616.670000000002
2017-09-20,21812.75
2017-09-21,18251.99
2017-09-22,15388.12
2017-09-23,9720.71
2017-09-24,12920.75
2017-09-25,17502.57
2017-09-26,21101.61
2017-09-27,20646.92
2017-09-28,22993.12
2017-09-29,28399.8
2017-09-30,11654.6
2017-10-01,18058.48
2017-10-02,21550.66
2017-10-03,25462.08
2017-10-04,20972.7
2017-10-05,24851.52
2017-10-06,16993.27
2017-10-07,14941.03
2017-10-08,16539.010000000002
2017-10-09,28850.29
2017-10-10,27879.52
2017-10-11,18735.58
2017-10-12,18352.08
2017-10-13,22241.19
2017-10-14,13160.97
2017-10-15,18598.06
2017-10-16,30039.98
2017-10-17,29361.78
2017-10-18,27257.79
2017-10-19,23128.37
2017-10-20,18523.4
2017-10-21,14332.86
2017-10-22,19195.28
2017-10-23,21682.21
2017-10-24,22034.47
2017-10-25,17397.16
2017-10-26,21253.81
2017-10-27,20318.58
2017-10-28,16333.61
2017-10-29,17048.75
2017-10-30,19400.06
2017-10-31,23753.1
2017-11-01,19363.71
